Image_ID,class,confidence,ymin,xmin,ymax,xmax,augmented
id_u3q6jdck4j.jpg,Trophozoite,1.0,2752,1241,2777,1270,
id_a6cl90trri.jpg,Trophozoite,1.0,2598,1566,2640,1604,
id_qvc2le9sm8.jpg,Trophozoite,1.0,1317,2788,1448,2914,
id_w8xnbd5rvm.jpg,Trophozoite,1.0,1029,1744,1145,1823,
id_6dop09rk02.jpg,NEG,1.0,120,0,120,0,
id_i7r9hkhxvx.jpg,WBC,1.0,2886,906,2943,963,
id_fzogq9kijh.jpg,WBC,1.0,2681,280,2751,373,
id_i8qcpi8ey9.jpg,Trophozoite,1.0,2541,1141,2572,1170,
id_y0me081u0v.jpg,NEG,1.0,120,0,120,0,
id_2phbgf1x5m.jpg,Trophozoite,1.0,2727,1169,2765,1205,
id_8l8zssuabc.jpg,Trophozoite,1.0,1911,1992,2001,2082,
id_i4d0ulpq39.jpg,WBC,1.0,2839,838,2903,906,
id_pwiv4czvne.jpg,Trophozoite,1.0,495,3002,617,3087,
id_8y0uii4k60.jpg,Trophozoite,1.0,2054,2315,2181,2410,
id_ylrsd2a6k4.jpg,Trophozoite,1.0,2065,923,2099,957,
id_n0dqkovtp3.jpg,Trophozoite,1.0,2269,637,2303,673,
id_5bbz3srksa.jpg,Trophozoite,1.0,2713,1455,2753,1495,
id_e3tep47339.jpg,Trophozoite,1.0,2719,794,2751,822,
id_ytq3slqkjm.jpg,Trophozoite,1.0,2148,768,2188,800,
id_nzkpf8tr8o.jpg,WBC,1.0,2519,1091,2589,1169,
id_a1ladv8a2p.jpg,Trophozoite,1.0,2494,656,2528,694,
id_7chz2q4dsm.jpg,Trophozoite,1.0,2577,755,2605,797,
id_fvpi1edl84.jpg,Trophozoite,1.0,1812,2390,1924,2482,
id_9cikz22vmm.jpg,WBC,1.0,1341,1173,1537,1374,
id_6bs4zqzvfr.jpg,Trophozoite,1.0,2409,1082,2441,1116,
id_331urb6uko.jpg,Trophozoite,1.0,2685,219,2725,261,
id_7fd9tfijwa.jpg,Trophozoite,1.0,2642,1088,2676,1122,
id_e20xnaq5qn.jpg,Trophozoite,1.0,2889,1358,2944,1409,
id_db7urn6j1g.jpg,Trophozoite,1.0,2791,980,2827,1022,
id_vmj225uyxh.jpg,Trophozoite,1.0,2596,1127,2628,1157,
id_lpc9b0h4yl.jpg,Trophozoite,1.0,1848,2990,1919,3061,
id_5gudsszz0t.jpg,Trophozoite,1.0,2491,182,2515,207,
id_tmtzoe9bns.jpg,Trophozoite,1.0,2337,1343,2373,1375,
id_7fc9zyfy0e.jpg,Trophozoite,1.0,907,3149,1005,3242,
id_tgqn7f4tx0.jpg,Trophozoite,1.0,2323,534,2408,650,
id_fa626uztwq.jpg,Trophozoite,1.0,2954,1175,2986,1211,
id_ytq3slqkjm.jpg,Trophozoite,1.0,3016,834,3054,872,
